id,title,vote_average,revenue
19995,Avatar,7.2,2787965087
285,Pirates of the Caribbean: At World's End,6.9,961000000
206647,Spectre,6.3,880674609
49026,The Dark Knight Rises,7.6,1084939099
49529,John Carter,6.1,284139100
559,Spider-Man 3,5.9,890871626
38757,Tangled,7.4,591794936
99861,Avengers: Age of Ultron,7.3,1405403694
767,Harry Potter and the Half-Blood Prince,7.4,933959197
209112,Batman v Superman: Dawn of Justice,5.7,873260194
1452,Superman Returns,5.4,391081192
10764,Quantum of Solace,6.1,586090727
58,Pirates of the Caribbean: Dead Man's Chest,7,1065659812
57201,The Lone Ranger,5.9,89289910
49521,Man of Steel,6.5,662845518
2454,The Chronicles of Narnia: Prince Caspian,6.3,419651413
24428,The Avengers,7.4,1519557910
1865,Pirates of the Caribbean: On Stranger Tides,6.4,1045713802
41154,Men in Black 3,6.2,624026776
122917,The Hobbit: The Battle of the Five Armies,7.1,956019788
1930,The Amazing Spider-Man,6.5,752215857
20662,Robin Hood,6.2,310669540
57158,The Hobbit: The Desolation of Smaug,7.6,958400000
2268,The Golden Compass,5.8,372234864
254,King Kong,6.6,550000000
597,Titanic,7.5,1845034188
271110,Captain America: Civil War,7.1,1153304495
44833,Battleship,5.5,303025485
135397,Jurassic World,6.5,1513528810
37724,Skyfall,6.9,1108561013
558,Spider-Man 2,6.7,783766341
68721,Iron Man 3,6.8,1215439994
12155,Alice in Wonderland,6.4,1025491110
36668,X-Men: The Last Stand,6.3,459359555
62211,Monsters University,7,743559607
8373,Transformers: Revenge of the Fallen,6,836297228
91314,Transformers: Age of Extinction,5.8,1091405097
68728,Oz: The Great and Powerful,5.7,491868548
102382,The Amazing Spider-Man 2,6.5,705717432
20526,TRON: Legacy,6.3,400062763
49013,Cars 2,5.8,559852396
44912,Green Lantern,5.1,219851172
10193,Toy Story 3,7.6,1066969703
534,Terminator Salvation,5.9,371353001
168259,Furious 7,7.3,1506249360
72190,World War Z,6.7,531865000
127585,X-Men: Days of Future Past,7.5,747862775
54138,Star Trek Into Darkness,7.4,467365246
81005,Jack the Giant Slayer,5.5,197687603
